,updateDate,code,code_name
221,2023-03-20,sz.002050,三花智控
222,2023-03-20,sz.002064,华峰化学
223,2023-03-20,sz.002074,国轩高科
224,2023-03-20,sz.002120,韵达股份
225,2023-03-20,sz.002129,TCL中环
226,2023-03-20,sz.002142,宁波银行
227,2023-03-20,sz.002179,中航光电
228,2023-03-20,sz.002180,纳思达
229,2023-03-20,sz.002202,金风科技
230,2023-03-20,sz.002230,科大讯飞
231,2023-03-20,sz.002236,大华股份
232,2023-03-20,sz.002241,歌尔股份
233,2023-03-20,sz.002252,上海莱士
234,2023-03-20,sz.002271,东方雨虹
235,2023-03-20,sz.002304,洋河股份
236,2023-03-20,sz.002311,海大集团
237,2023-03-20,sz.002352,顺丰控股
238,2023-03-20,sz.002371,北方华创
239,2023-03-20,sz.002410,广联达
240,2023-03-20,sz.002414,高德红外
241,2023-03-20,sz.002415,海康威视
242,2023-03-20,sz.002459,晶澳科技
243,2023-03-20,sz.002460,赣锋锂业
244,2023-03-20,sz.002466,天齐锂业
245,2023-03-20,sz.002475,立讯精密
246,2023-03-20,sz.002493,荣盛石化
247,2023-03-20,sz.002555,三七互娱
248,2023-03-20,sz.002594,比亚迪
249,2023-03-20,sz.002600,领益智造
250,2023-03-20,sz.002601,龙佰集团
251,2023-03-20,sz.002602,世纪华通
252,2023-03-20,sz.002648,卫星化学
253,2023-03-20,sz.002709,天赐材料
254,2023-03-20,sz.002714,牧原股份
255,2023-03-20,sz.002736,国信证券
256,2023-03-20,sz.002756,永兴材料
257,2023-03-20,sz.002812,恩捷股份
258,2023-03-20,sz.002821,凯莱英
259,2023-03-20,sz.002841,视源股份
260,2023-03-20,sz.002916,深南电路
261,2023-03-20,sz.002920,德赛西威
262,2023-03-20,sz.002938,鹏鼎控股
263,2023-03-20,sz.003816,中国广核
264,2023-03-20,sz.300014,亿纬锂能
265,2023-03-20,sz.300015,爱尔眼科
266,2023-03-20,sz.300033,同花顺
267,2023-03-20,sz.300059,东方财富
268,2023-03-20,sz.300122,智飞生物
269,2023-03-20,sz.300124,汇川技术
270,2023-03-20,sz.300142,沃森生物
271,2023-03-20,sz.300207,欣旺达
272,2023-03-20,sz.300223,北京君正
273,2023-03-20,sz.300274,阳光电源
274,2023-03-20,sz.300316,晶盛机电
275,2023-03-20,sz.300347,泰格医药
276,2023-03-20,sz.300408,三环集团
277,2023-03-20,sz.300413,芒果超媒
278,2023-03-20,sz.300433,蓝思科技
279,2023-03-20,sz.300450,先导智能
280,2023-03-20,sz.300454,深信服
281,2023-03-20,sz.300496,中科创达
282,2023-03-20,sz.300498,温氏股份
283,2023-03-20,sz.300529,健帆生物
284,2023-03-20,sz.300595,欧普康视
285,2023-03-20,sz.300601,康泰生物
286,2023-03-20,sz.300628,亿联网络
287,2023-03-20,sz.300661,圣邦股份
288,2023-03-20,sz.300750,宁德时代
289,2023-03-20,sz.300751,迈为股份
290,2023-03-20,sz.300759,康龙化成
291,2023-03-20,sz.300760,迈瑞医疗
292,2023-03-20,sz.300763,锦浪科技
293,2023-03-20,sz.300769,德方纳米
294,2023-03-20,sz.300782,卓胜微
295,2023-03-20,sz.300896,爱美客
296,2023-03-20,sz.300919,中伟股份
297,2023-03-20,sz.300957,贝泰妮
298,2023-03-20,sz.300979,华利集团
299,2023-03-20,sz.300999,金龙鱼
