,statYear,statMonth,m0Month,m0YOY,m0ChainRelative,m1Month,m1YOY,m1ChainRelative,m2Month,m2YOY,m2ChainRelative
0,2012,01,59820.720000,3.000000,17.876913,270010.400000,3.100000,-6.844042,855898.890000,12.400000,0.505876
1,2012,02,51448.780000,8.800000,-13.995051,270312.110000,4.300000,0.111740,867171.420000,13.000000,1.317040
2,2012,03,49595.740000,10.600000,-3.601718,277998.110000,4.400000,2.843380,895565.500000,13.400000,3.274333
3,2012,04,50199.320000,10.400000,1.217000,274983.820000,3.100000,-1.084284,889604.040000,12.800000,-0.665664
4,2012,05,49039.720000,10.000000,-2.309991,278656.310000,3.500000,1.335529,900048.770000,13.200000,1.174088
5,2012,06,49284.640000,10.800000,0.499432,287526.170000,4.700000,3.183082,924991.200000,13.600000,2.771231
6,2012,07,49705.847790,10.000000,0.854643,283090.680900,4.600000,-1.542638,919072.401900,13.900000,-0.639876
7,2012,08,50235.061540,9.700000,1.064691,285739.265300,4.500000,0.935596,924894.586500,13.500000,0.633485
8,2012,09,53433.488100,13.300000,6.366921,286788.206100,7.300000,0.367097,943688.753400,14.800000,2.032033
9,2012,10,51467.712010,10.500000,-3.678922,293309.784900,6.100000,2.274005,936404.279200,14.100000,-0.771915
10,2012,11,52392.120000,10.700000,1.796093,296883.000000,5.500000,1.218239,944832.400000,13.900000,0.900052
11,2012,12,54659.770000,7.700000,4.328227,308664.230000,6.500000,3.968307,974148.800000,13.800000,3.102815
12,2013,01,62449.630000,4.400000,14.251542,311228.550000,15.300000,0.830780,992129.250000,15.900000,1.845760
13,2013,02,60313.650000,17.200000,-3.420325,296103.240000,9.500000,-4.859872,998600.830000,15.200000,0.652292
14,2013,03,55460.520000,12.400000,-8.046487,310898.290000,11.900000,4.996585,1035858.370000,15.700000,3.730974
15,2013,04,55607.151230,10.800000,0.264388,307648.420200,11.900000,-1.045316,1032551.903000,16.100000,-0.319201
16,2013,05,54431.390000,10.800000,-2.114407,310204.480000,11.300000,0.830838,1042169.160000,15.800000,0.931407
17,2013,06,54063.910000,9.900000,-0.675125,313499.820000,9.100000,1.062312,1054403.690000,14.000000,1.173949
18,2013,07,54412.780000,9.500000,0.645292,310596.460000,9.700000,-0.926112,1052212.340000,14.500000,-0.207828
19,2013,08,54925.350000,9.300000,0.942003,314085.910000,9.900000,1.123467,1061256.430000,14.700000,0.859531
20,2013,09,56492.531120,5.700000,2.853293,312330.343300,8.900000,-0.558945,1077379.163000,14.200000,1.519212
21,2013,10,55595.720000,8.000000,-1.587486,319509.380000,8.900000,2.298540,1070242.167000,14.300000,-0.662441
22,2013,11,56441.272380,7.700000,1.520895,324821.922800,9.400000,1.662719,1079257.055000,14.200000,0.842322
23,2013,12,58574.440000,7.100000,3.779446,337291.050000,9.300000,3.838758,1106524.980000,13.600000,2.526546
24,2014,01,76488.595230,22.500000,30.583571,314900.552500,1.200000,-6.638331,1123521.210000,13.200000,1.536001
25,2014,02,62320.950000,3.300000,-18.522559,316625.110000,6.900000,0.547651,1131760.830000,13.300000,0.733375
26,2014,03,58329.300000,5.200000,-6.404989,327683.740000,5.400000,3.492657,1160687.380000,12.100000,2.555889
27,2014,04,58615.540000,5.400000,0.490731,324482.520000,5.500000,-0.976924,1168812.670000,13.200000,0.700041
28,2014,05,58051.110000,6.700000,-0.962936,327839.560000,5.700000,1.034583,1182293.960000,13.400000,1.153418
29,2014,06,56951.050000,5.300000,-1.894985,341487.450000,8.900000,4.162978,1209587.200000,14.700000,2.308499
30,2014,07,57346.500000,5.400000,0.694368,331347.320000,6.700000,-2.969400,1194249.240000,13.500000,-1.268033
31,2014,08,57997.610000,5.600000,1.135396,332023.230000,5.700000,0.203988,1197499.080000,12.800000,0.272124
32,2014,09,58844.990000,4.200000,1.461060,327220.210000,4.800000,-1.446592,1202051.410000,12.900000,0.380153
33,2014,10,57691.637640,3.800000,-1.959984,329617.732100,3.200000,0.732694,1199236.314000,12.600000,-0.234191
34,2014,11,58438.530000,3.500000,1.294628,335114.130000,3.200000,1.667507,1208605.950000,12.300000,0.781300
35,2014,12,60259.528840,2.900000,3.116093,348056.408900,3.200000,3.862051,1228374.807000,12.200000,1.635674
36,2015,01,63040.506731,-17.600000,4.615001,348109.502246,10.600000,0.015254,1242710.218539,10.800000,1.167023
37,2015,02,72896.193484,17.000000,15.633895,334439.222673,5.600000,-3.927006,1257380.478475,12.500000,1.180505
38,2015,03,61949.810000,6.200000,-15.016399,337210.520000,2.900000,0.828640,1275332.780000,11.600000,1.427754
39,2015,04,60772.460000,3.700000,-1.900490,336388.240000,3.700000,-0.243848,1280779.140000,10.100000,0.427054
40,2015,05,59075.970000,1.800000,-2.791544,343085.860000,4.700000,1.991039,1307357.630000,10.800000,2.075181
41,2015,06,58604.264345,2.900000,-0.798473,356082.855459,4.300000,3.788263,1333375.364539,11.800000,1.990101
42,2015,07,59010.707689,2.900000,0.693539,353122.193829,6.600000,-0.831453,1353210.924826,13.300000,1.487620
43,2015,08,59061.790000,1.800000,0.086564,362793.730000,9.300000,2.738864,1356907.980000,13.300000,0.273206
44,2015,09,61022.970000,3.700000,3.320556,364416.900000,11.400000,0.447408,1359824.060000,13.100000,0.214906
45,2015,10,59900.475351,3.800000,-1.839463,375806.449677,14.000000,3.125418,1361020.704627,13.500000,0.088000
46,2015,11,60328.240000,3.200000,0.714126,387618.320000,15.700000,3.143073,1373956.010000,13.700000,0.950412
47,2015,12,63216.577970,4.900000,4.787705,400953.440048,15.200000,3.440271,1392278.109199,13.300000,1.333529
48,2016,01,72526.510000,15.100000,14.727042,412685.640000,18.600000,2.926075,1416319.550000,14.000000,1.726770
49,2016,02,69421.495356,-4.800000,-4.281213,392504.696350,17.400000,-4.890149,1424618.677922,13.300000,0.585964
50,2016,03,64651.210000,4.400000,-6.871482,411581.310000,22.100000,4.860226,1446198.030000,13.400000,1.514746
51,2016,04,64403.170000,6.000000,-0.383659,413504.840000,22.900000,0.467351,1445209.590000,12.800000,-0.068347
52,2016,05,62780.710000,6.300000,-2.519224,424250.700000,23.700000,2.598727,1461695.110000,11.800000,1.140701
53,2016,06,62818.890000,7.200000,0.060815,443643.700000,24.600000,4.571118,1490491.830000,11.800000,1.970091
54,2016,07,63276.010000,7.200000,0.727679,442934.430000,25.400000,-0.159874,1491558.720000,10.200000,0.071580
55,2016,08,63454.700000,7.400000,0.282398,454543.600000,25.300000,2.620968,1510982.910000,11.400000,1.302275
56,2016,09,65068.620000,6.600000,2.543421,454340.250000,24.700000,-0.044737,1516360.500000,11.500000,0.355900
57,2016,10,64214.930000,7.200000,-1.311984,465446.650000,23.900000,2.444512,1519485.400000,11.600000,0.206079
58,2016,11,64903.500000,7.600000,1.072290,475405.540000,22.700000,2.139642,1530432.060000,11.400000,0.720419
59,2016,12,68303.867803,8.100000,5.239113,486557.237371,21.400000,2.345723,1550066.667811,11.300000,1.282945
60,2017,01,86598.610000,19.400000,26.784343,472526.450000,14.500000,-2.883687,1584194.563831,10.703186,2.201705
61,2017,02,71727.690000,3.300000,-17.172239,476527.600000,21.400000,0.846757,1589856.995350,10.449967,0.357433
62,2017,03,68605.050000,6.100000,-4.353465,488770.090000,18.800000,2.569104,1607938.980022,10.117820,1.137334
63,2017,04,68392.596372,6.200000,-0.309676,490180.419727,18.500000,0.288547,1603918.840243,9.842606,-0.250018
64,2017,05,67333.207141,7.300000,-1.548982,496389.782173,17.000000,1.266750,1609740.773755,9.128885,0.362982
65,2017,06,66977.681620,6.600000,-0.528009,510228.165977,15.000000,2.787806,1639497.045135,9.101344,1.848513
66,2017,07,67129.041403,6.100000,0.225985,510484.577519,15.300000,0.050254,1636341.105249,8.889978,-0.192494
67,2017,08,67550.989473,6.500000,0.628563,518113.929799,14.000000,1.494531,1652947.300311,8.563347,1.014837
68,2017,09,69748.540236,7.200000,3.253173,517863.037329,14.000000,-0.048424,1663666.054387,8.975967,0.648463
69,2017,10,68230.688047,6.300000,-2.176178,525977.190420,13.000000,1.566853,1662449.960199,8.877143,-0.073097
70,2017,11,68623.157300,5.700000,0.575209,535565.049541,12.700000,1.822866,1679156.636130,9.114770,1.004943
71,2017,12,70645.599242,3.400000,2.947171,543790.145191,11.800000,1.535779,1690235.314681,8.065378,0.659776
72,2018,01,74636.290086,-13.800000,5.648888,543247.125702,15.000000,-0.099858,1720814.462071,8.600000,1.809165
73,2018,02,81424.243409,13.500000,9.094709,517035.992841,8.500000,-4.824900,1729070.118078,8.800000,0.479753
74,2018,03,72692.628671,6.000000,-10.723606,523540.074558,7.100000,1.257955,1739859.477710,8.200000,0.623998
75,2018,04,71476.456198,4.500000,-1.673034,525447.770336,7.200000,0.364384,1737683.729475,8.300000,-0.125053
76,2018,05,69774.807997,3.600000,-2.380711,526276.715544,6.000000,0.157760,1743063.792323,8.300000,0.309611
77,2018,06,69589.333435,3.900000,-0.265819,543944.712308,6.600000,3.357169,1770178.373000,8.000000,1.555570
78,2018,07,69530.589770,3.600000,-0.084415,536624.293881,5.100000,-1.345802,1776196.105164,8.500000,0.339951
79,2018,08,69775.393036,3.300000,0.352080,538324.644350,3.900000,0.316861,1788670.429702,8.200000,0.702306
80,2018,09,71254.261075,2.200000,2.119469,538574.082469,4.000000,0.046336,1801665.581458,8.300000,0.726526
81,2018,10,70106.620872,2.800000,-1.610627,540128.365465,2.700000,0.288592,1795561.595564,8.000000,-0.338797
82,2018,11,70563.304269,2.800000,0.651413,543498.660932,1.500000,0.623980,1813175.065392,8.000000,0.980945
83,2018,12,73208.403380,3.600000,3.748548,551685.907549,1.500000,1.506397,1826744.215713,8.100000,0.748364
84,2019,01,87470.620000,17.200000,19.481666,545638.460000,0.400000,-1.096176,1865935.330000,8.400000,2.145408
85,2019,02,79484.720000,-2.400000,-9.129808,527190.480000,1.600000,-3.380990,1867427.450000,8.000000,0.079966
86,2019,03,74941.580000,3.100000,-5.715740,547575.540000,4.600000,3.866735,1889412.140000,8.600000,1.177271
87,2019,04,73965.760000,3.500000,-1.302108,540614.600000,2.900000,-1.271229,1884670.330000,8.500000,-0.250967
88,2019,05,72798.460000,4.300000,-1.578163,544355.640000,3.400000,0.691998,1891153.700000,8.500000,0.344006
89,2019,06,72580.960000,4.300000,-0.298770,567696.180000,4.400000,4.287737,1921360.190000,8.500000,1.597252
90,2019,07,72689.250000,4.500000,0.149199,553043.110000,3.100000,-2.581146,1919410.820000,8.100000,-0.101458
91,2019,08,73152.620000,4.800000,0.637467,556798.090000,3.400000,0.678967,1935492.430000,8.200000,0.837841
92,2019,09,74129.750000,4.000000,1.335742,557137.950000,3.400000,0.061038,1952250.490000,8.400000,0.865829
93,2019,10,73395.400000,4.700000,-0.990628,558143.920000,3.300000,0.180560,1945600.550000,8.400000,-0.340629
94,2019,11,73973.820000,4.800000,0.788088,562486.520000,3.500000,0.778043,1961429.560000,8.200000,0.813580
95,2019,12,77189.470000,5.400000,4.347011,576009.150000,4.400000,2.404081,1986488.820000,8.700000,1.277602
96,2020,01,93249.163100,6.600000,20.805549,545531.786600,0.000000,-5.291125,2023066.485000,8.400000,1.841322
97,2020,02,88187.053710,10.900000,-5.428584,552700.729100,4.800000,1.314120,2030830.424000,8.800000,0.383771
98,2020,03,83022.205080,10.800000,-5.856697,575050.286300,5.000000,4.043700,2080923.411000,10.100000,2.466626
99,2020,04,81485.214900,10.200000,-1.851300,570150.478900,5.500000,-0.852066,2093533.829000,11.100000,0.606001
100,2020,05,79706.829700,9.500000,-2.182464,581111.057300,6.800000,1.922401,2100183.741000,11.100000,0.317641
101,2020,06,79459.406670,9.500000,-0.310416,604317.968500,6.500000,3.993541,2134948.661000,11.100000,1.655328
102,2020,07,79867.208370,9.900000,0.513220,591192.636800,6.900000,-2.171925,2125458.462000,10.700000,-0.444516
103,2020,08,80042.710000,9.400000,0.219742,601289.100000,8.000000,1.707813,2136836.910000,10.400000,0.535341
104,2020,09,82370.870000,11.100000,2.908647,602312.120000,8.100000,0.170138,2164084.800000,10.900000,1.275151
105,2020,10,81036.430000,10.400000,-1.620039,609182.410000,9.100000,1.140653,2149720.420000,10.500000,-0.663762
106,2020,11,81593.610000,10.300000,0.687567,618632.170000,10.000000,1.551220,2172002.550000,10.700000,1.036513
107,2020,12,84314.530000,9.200000,3.334722,625580.990000,8.600000,1.123256,2186795.890000,10.100000,0.681092
108,2021,01,89625.240000,-3.900000,6.298689,625563.810000,14.700000,-0.002746,2213047.330000,9.400000,1.200452
109,2021,02,91924.600000,4.200000,2.565527,593487.460000,7.400000,-5.127590,2236030.260000,10.100000,1.038520
110,2021,03,86543.640000,4.200000,-5.853667,616113.170000,7.100000,3.812332,2276488.450000,9.400000,1.809376
111,2021,04,85803.370000,5.300000,-0.855372,605421.890000,6.200000,-1.735279,2262107.120000,8.100000,-0.631733
112,2021,05,84177.720000,5.600000,-1.894623,616828.320000,6.100000,1.884047,2275538.070000,8.300000,0.593736
113,2021,06,84346.970000,6.200000,0.201063,637479.360000,5.500000,3.347940,2317788.360000,8.600000,1.856716
114,2021,07,84717.560000,6.100000,0.439364,620367.050000,4.900000,-2.684371,2302153.820000,8.300000,-0.674546
115,2021,08,85059.200000,6.300000,0.403269,626658.690000,4.200000,1.014180,2312267.680000,8.200000,0.439322
116,2021,09,86867.090000,5.500000,2.125449,624645.680000,3.700000,-0.321229,2342829.700000,8.300000,1.321734
117,2021,10,86085.780000,6.200000,-0.899432,626082.120000,2.800000,0.229961,2336160.480000,8.700000,-0.284665
118,2021,11,87433.410000,7.200000,1.565450,637482.040000,3.000000,1.820835,2356012.760000,8.500000,0.849782
119,2021,12,90825.150000,7.700000,3.879226,647443.350000,3.500000,1.562602,2382899.560000,9.000000,1.141199
120,2022,01,106188.870000,18.500000,16.915711,613859.350000,-1.900000,-5.187172,2431022.720000,9.800000,2.019521
121,2022,02,97227.700000,5.800000,-8.438898,621612.110000,4.700000,1.262954,2441488.900000,9.200000,0.430526
122,2022,03,95141.920000,9.900000,-2.145253,645063.800000,4.700000,3.772721,2497688.340000,9.700000,2.301851
123,2022,04,95626.490000,11.400000,0.509313,636139.010000,5.100000,-1.383552,2499710.900000,10.500000,0.080977
124,2022,05,95546.860000,13.500000,-0.083272,645107.520000,4.600000,1.409835,2527026.150000,11.100000,1.092736
125,2022,06,96011.170000,13.800000,0.485950,674374.810000,5.800000,4.536808,2581451.200000,11.400000,2.153719
