,updateDate,code,code_name
0,2023-03-20,sh.600006,东风汽车
1,2023-03-20,sh.600008,首创环保
2,2023-03-20,sh.600021,上海电力
3,2023-03-20,sh.600022,山东钢铁
4,2023-03-20,sh.600026,中远海能
5,2023-03-20,sh.600027,华电国际
6,2023-03-20,sh.600032,浙江新能
7,2023-03-20,sh.600038,中直股份
8,2023-03-20,sh.600056,中国医药
9,2023-03-20,sh.600060,海信视像
10,2023-03-20,sh.600062,华润双鹤
11,2023-03-20,sh.600064,南京高科
12,2023-03-20,sh.600066,宇通客车
13,2023-03-20,sh.600079,人福医药
14,2023-03-20,sh.600095,湘财股份
15,2023-03-20,sh.600096,云天化
16,2023-03-20,sh.600109,国金证券
17,2023-03-20,sh.600118,中国卫星
18,2023-03-20,sh.600126,杭钢股份
19,2023-03-20,sh.600131,国网信通
20,2023-03-20,sh.600141,兴发集团
21,2023-03-20,sh.600143,金发科技
22,2023-03-20,sh.600153,建发股份
23,2023-03-20,sh.600155,华创阳安
24,2023-03-20,sh.600157,永泰能源
25,2023-03-20,sh.600160,巨化股份
26,2023-03-20,sh.600161,天坛生物
27,2023-03-20,sh.600166,福田汽车
28,2023-03-20,sh.600167,联美控股
29,2023-03-20,sh.600170,上海建工
30,2023-03-20,sh.600171,上海贝岭
31,2023-03-20,sh.600177,雅戈尔
32,2023-03-20,sh.600195,中牧股份
33,2023-03-20,sh.600201,生物股份
34,2023-03-20,sh.600208,新湖中宝
35,2023-03-20,sh.600216,浙江医药
36,2023-03-20,sh.600258,首旅酒店
37,2023-03-20,sh.600259,广晟有色
38,2023-03-20,sh.600271,航天信息
39,2023-03-20,sh.600282,南钢股份
40,2023-03-20,sh.600297,广汇汽车
41,2023-03-20,sh.600298,安琪酵母
42,2023-03-20,sh.600299,安迪苏
43,2023-03-20,sh.600307,酒钢宏兴
44,2023-03-20,sh.600315,上海家化
45,2023-03-20,sh.600316,洪都航空
46,2023-03-20,sh.600325,华发股份
47,2023-03-20,sh.600329,达仁堂
48,2023-03-20,sh.600339,中油工程
49,2023-03-20,sh.600348,华阳股份
50,2023-03-20,sh.600350,山东高速
51,2023-03-20,sh.600352,浙江龙盛
52,2023-03-20,sh.600369,西南证券
53,2023-03-20,sh.600372,中航电子
54,2023-03-20,sh.600373,中文传媒
55,2023-03-20,sh.600376,首开股份
56,2023-03-20,sh.600377,宁沪高速
57,2023-03-20,sh.600378,昊华科技
58,2023-03-20,sh.600380,健康元
59,2023-03-20,sh.600390,五矿资本
60,2023-03-20,sh.600392,盛和资源
61,2023-03-20,sh.600398,海澜之家
62,2023-03-20,sh.600399,抚顺特钢
63,2023-03-20,sh.600409,三友化工
64,2023-03-20,sh.600415,小商品城
65,2023-03-20,sh.600418,江淮汽车
66,2023-03-20,sh.600435,北方导航
67,2023-03-20,sh.600482,中国动力
68,2023-03-20,sh.600486,扬农化工
69,2023-03-20,sh.600487,亨通光电
70,2023-03-20,sh.600489,中金黄金
71,2023-03-20,sh.600497,驰宏锌锗
72,2023-03-20,sh.600498,烽火通信
73,2023-03-20,sh.600499,科达制造
74,2023-03-20,sh.600500,中化国际
75,2023-03-20,sh.600507,方大特钢
76,2023-03-20,sh.600511,国药股份
77,2023-03-20,sh.600516,方大炭素
78,2023-03-20,sh.600517,国网英大
79,2023-03-20,sh.600521,华海药业
80,2023-03-20,sh.600528,中铁工业
81,2023-03-20,sh.600529,山东药玻
82,2023-03-20,sh.600535,天士力
83,2023-03-20,sh.600536,中国软件
84,2023-03-20,sh.600546,山煤国际
85,2023-03-20,sh.600549,厦门钨业
86,2023-03-20,sh.600556,天下秀
87,2023-03-20,sh.600563,法拉电子
88,2023-03-20,sh.600566,济川药业
89,2023-03-20,sh.600567,山鹰国际
90,2023-03-20,sh.600580,卧龙电驱
91,2023-03-20,sh.600582,天地科技
92,2023-03-20,sh.600597,光明乳业
93,2023-03-20,sh.600598,北大荒
94,2023-03-20,sh.600623,华谊集团
95,2023-03-20,sh.600637,东方明珠
96,2023-03-20,sh.600642,申能股份
97,2023-03-20,sh.600648,外高桥
98,2023-03-20,sh.600655,豫园股份
99,2023-03-20,sh.600663,陆家嘴
100,2023-03-20,sh.600667,太极实业
101,2023-03-20,sh.600673,东阳光
102,2023-03-20,sh.600699,均胜电子
103,2023-03-20,sh.600704,物产中大
104,2023-03-20,sh.600705,中航产融
105,2023-03-20,sh.600707,彩虹股份
106,2023-03-20,sh.600718,东软集团
107,2023-03-20,sh.600728,佳都科技
108,2023-03-20,sh.600737,中粮糖业
109,2023-03-20,sh.600739,辽宁成大
110,2023-03-20,sh.600755,厦门国贸
111,2023-03-20,sh.600764,中国海防
112,2023-03-20,sh.600765,中航重机
113,2023-03-20,sh.600782,新钢股份
114,2023-03-20,sh.600787,中储股份
115,2023-03-20,sh.600801,华新水泥
116,2023-03-20,sh.600808,马钢股份
117,2023-03-20,sh.600820,隧道股份
118,2023-03-20,sh.600827,百联股份
119,2023-03-20,sh.600839,四川长虹
120,2023-03-20,sh.600848,上海临港
121,2023-03-20,sh.600859,王府井
122,2023-03-20,sh.600862,中航高科
123,2023-03-20,sh.600863,内蒙华电
124,2023-03-20,sh.600867,通化东宝
125,2023-03-20,sh.600871,石化油服
126,2023-03-20,sh.600873,梅花生物
127,2023-03-20,sh.600879,航天电子
128,2023-03-20,sh.600885,宏发股份
129,2023-03-20,sh.600895,张江高科
130,2023-03-20,sh.600901,江苏金租
131,2023-03-20,sh.600906,财达证券
132,2023-03-20,sh.600909,华安证券
133,2023-03-20,sh.600917,重庆燃气
134,2023-03-20,sh.600927,永安期货
135,2023-03-20,sh.600928,西安银行
136,2023-03-20,sh.600956,新天绿能
137,2023-03-20,sh.600959,江苏有线
138,2023-03-20,sh.600967,内蒙一机
139,2023-03-20,sh.600968,海油发展
140,2023-03-20,sh.600970,中材国际
141,2023-03-20,sh.600985,淮北矿业
142,2023-03-20,sh.600988,赤峰黄金
143,2023-03-20,sh.600998,九州通
144,2023-03-20,sh.601000,唐山港
145,2023-03-20,sh.601005,重庆钢铁
146,2023-03-20,sh.601016,节能风电
147,2023-03-20,sh.601058,赛轮轮胎
148,2023-03-20,sh.601077,渝农商行
149,2023-03-20,sh.601098,中南传媒
150,2023-03-20,sh.601106,中国一重
151,2023-03-20,sh.601108,财通证券
152,2023-03-20,sh.601118,海南橡胶
153,2023-03-20,sh.601128,常熟银行
154,2023-03-20,sh.601139,深圳燃气
155,2023-03-20,sh.601156,东航物流
156,2023-03-20,sh.601158,重庆水务
157,2023-03-20,sh.601162,天风证券
158,2023-03-20,sh.601168,西部矿业
159,2023-03-20,sh.601179,中国西电
160,2023-03-20,sh.601187,厦门银行
161,2023-03-20,sh.601198,东兴证券
162,2023-03-20,sh.601228,广州港
163,2023-03-20,sh.601231,环旭电子
164,2023-03-20,sh.601233,桐昆股份
165,2023-03-20,sh.601298,青岛港
166,2023-03-20,sh.601333,广深铁路
167,2023-03-20,sh.601456,国联证券
168,2023-03-20,sh.601555,东吴证券
169,2023-03-20,sh.601568,北元集团
170,2023-03-20,sh.601577,长沙银行
171,2023-03-20,sh.601598,中国外运
172,2023-03-20,sh.601607,上海医药
173,2023-03-20,sh.601608,中信重工
174,2023-03-20,sh.601611,中国核建
175,2023-03-20,sh.601636,旗滨集团
176,2023-03-20,sh.601665,齐鲁银行
177,2023-03-20,sh.601666,平煤股份
178,2023-03-20,sh.601696,中银证券
179,2023-03-20,sh.601699,潞安环能
180,2023-03-20,sh.601717,郑煤机
181,2023-03-20,sh.601718,际华集团
182,2023-03-20,sh.601778,晶科科技
183,2023-03-20,sh.601828,美凯龙
184,2023-03-20,sh.601866,中远海发
185,2023-03-20,sh.601869,长飞光纤
186,2023-03-20,sh.601872,招商轮船
187,2023-03-20,sh.601880,辽港股份
188,2023-03-20,sh.601928,凤凰传媒
189,2023-03-20,sh.601958,金钼股份
190,2023-03-20,sh.601969,海南矿业
191,2023-03-20,sh.601990,南京证券
192,2023-03-20,sh.601991,大唐发电
193,2023-03-20,sh.601992,金隅集团
194,2023-03-20,sh.601997,贵阳银行
195,2023-03-20,sh.603000,人民网
196,2023-03-20,sh.603026,胜华新材
197,2023-03-20,sh.603056,德邦股份
198,2023-03-20,sh.603077,和邦生物
199,2023-03-20,sh.603127,昭衍新药
200,2023-03-20,sh.603156,养元饮品
201,2023-03-20,sh.603160,汇顶科技
202,2023-03-20,sh.603218,日月股份
203,2023-03-20,sh.603225,新凤鸣
204,2023-03-20,sh.603228,景旺电子
205,2023-03-20,sh.603233,大参林
206,2023-03-20,sh.603267,鸿远电子
207,2023-03-20,sh.603317,天味食品
208,2023-03-20,sh.603345,安井食品
209,2023-03-20,sh.603355,莱克电气
210,2023-03-20,sh.603379,三美股份
211,2023-03-20,sh.603444,吉比特
212,2023-03-20,sh.603456,九洲药业
213,2023-03-20,sh.603517,绝味食品
214,2023-03-20,sh.603568,伟明环保
215,2023-03-20,sh.603589,口子窖
216,2023-03-20,sh.603596,伯特利
217,2023-03-20,sh.603605,珀莱雅
218,2023-03-20,sh.603606,东方电缆
219,2023-03-20,sh.603613,国联股份
220,2023-03-20,sh.603638,艾迪精密
221,2023-03-20,sh.603650,彤程新材
222,2023-03-20,sh.603658,安图生物
223,2023-03-20,sh.603688,石英股份
224,2023-03-20,sh.603707,健友股份
225,2023-03-20,sh.603712,七一二
226,2023-03-20,sh.603719,良品铺子
227,2023-03-20,sh.603737,三棵树
228,2023-03-20,sh.603786,科博达
229,2023-03-20,sh.603816,顾家家居
230,2023-03-20,sh.603858,步长制药
231,2023-03-20,sh.603866,桃李面包
232,2023-03-20,sh.603868,飞科电器
233,2023-03-20,sh.603883,老百姓
234,2023-03-20,sh.603885,吉祥航空
235,2023-03-20,sh.603893,瑞芯微
236,2023-03-20,sh.603927,中科软
237,2023-03-20,sh.603939,益丰药房
238,2023-03-20,sh.605358,立昂微
239,2023-03-20,sh.688002,睿创微纳
240,2023-03-20,sh.688006,杭可科技
241,2023-03-20,sh.688009,中国通号
242,2023-03-20,sh.688029,南微医学
243,2023-03-20,sh.688063,派能科技
244,2023-03-20,sh.688088,虹软科技
245,2023-03-20,sh.688099,晶晨股份
246,2023-03-20,sh.688116,天奈科技
247,2023-03-20,sh.688122,西部超导
248,2023-03-20,sh.688185,康希诺
249,2023-03-20,sh.688188,柏楚电子
250,2023-03-20,sh.688208,道通科技
